31
11
0.40	0.30	0.50	0.80	0.50	0.70	0.70	0.80	0.50
0.85	0.80	0.75	0.55	0.70	0.75	0.75	0.70	0.80
0.55	0.65	0.40	0.85	0.90	0.40	1.00	0.50	0.90
0.30	0.60	0.60	0.80	1.00	0.45	0.55	0.60	0.15
0.85	0.85	0.75	1.00	0.85	0.40	0.75	0.90	0.80
0.15	0.45	0.30	0.80	0.50	0.35	0.70	0.65	0.95
0.15	0.20	0.15	0.20	0.25	0.30	0.95	0.15	0.15
0.65	0.20	0.25	0.55	0.60	0.50	0.40	0.95	0.15
0.50	0.25	0.60	0.65	0.30	0.70	0.75	0.15	0.95
0.60	0.95	0.70	0.90	0.85	0.30	0.30	0.80	0.60
0.20	0.25	0.60	0.85	0.55	0.30	0.40	1.00	0.10
0.70	0.75	0.90	0.50	0.15	0.85	0.30	0.50	0.80
0.85	0.45	0.35	0.60	0.40	0.35	0.50	0.20	0.55
0.90	0.60	0.55	0.60	0.70	0.75	1.00	0.50	0.60
0.40	0.35	0.60	0.65	0.80	0.40	0.55	0.45	0.25
0.30	0.15	0.15	0.65	0.90	0.10	0.25	0.55	0.20
0.80	0.70	0.60	0.30	0.65	0.70	0.45	0.15	0.25
0.15	0.30	0.60	0.25	0.30	0.20	0.35	0.10	0.35
0.70	0.65	0.50	0.80	0.60	0.40	0.50	0.65	1.00
0.10	0.20	0.60	0.35	0.35	0.20	0.10	0.20	0.15
0.30	0.15	0.20	0.50	0.45	0.45	0.55	0.10	0.15
0.95	0.80	0.75	0.45	1.00	1.00	0.70	0.95	0.45
0.15	0.45	0.30	0.80	0.50	0.35	0.70	0.65	0.95
0.30	0.10	0.35	0.45	0.20	0.15	0.25	0.10	0.15
0.65	0.20	0.25	0.55	0.60	0.50	0.40	0.95	0.15
0.80	0.55	0.90	0.95	0.70	0.70	0.75	0.65	0.95
0.10	0.15	0.20	0.30	0.15	0.30	0.30	0.10	0.30
0.80	0.95	0.60	0.85	0.75	0.60	0.50	1.00	0.40
0.80	0.75	0.50	0.70	0.85	0.65	0.60	0.80	0.95
0.15	0.35	0.25	0.10	0.20	0.35	0.40	0.20	0.15
0.90	0.65	0.75	0.95	0.70	0.50	0.40	0.50	0.60
