20
23
0.9	-0.9	-0.95	0.95	0.9	-0.9	-0.9	-0.9	-0.95	0.95	-0.95	-0.95	-0.9	0.9	-0.9	-0.9	-0.9	-0.9	0.9	-0.9	-0.9	-0.9	0.9
0.9	-0.9	-1	1	-0.75	0.75	-0.75	-0.75	-0.9	0.9	-0.9	-0.9	-0.8	0.8	-0.8	-0.8	-0.8	-0.95	0.95	-0.9	-0.9	-0.9	0.9
0.95	-0.95	-0.85	0.85	-0.9	0.9	-0.9	-0.9	-0.95	0.95	-0.95	-0.95	-1	1	-1	-1	-1	-1	1	-0.95	-0.95	-0.95	0.95
-0.85	0.85	-0.95	0.95	0.9	-0.9	-0.9	-0.9	-0.95	-0.95	0.95	-0.95	-0.9	-0.9	-0.9	0.9	-0.9	-0.95	0.95	0.9	-0.9	-0.9	-0.9
-0.9	0.9	-0.95	0.95	0.9	-0.9	-0.9	-0.9	-0.95	-0.95	0.95	-0.95	-0.85	-0.85	-0.85	0.85	-0.85	-1	1	0.9	-0.9	-0.9	-0.9
-0.9	0.9	-0.95	0.95	0.9	-0.9	-0.9	-0.9	-1	-1	1	-1	-1	-1	-1	1	-1	-0.95	0.95	0.95	-0.95	-0.95	-0.95
-1	1	0.85	-0.85	-0.85	-0.85	-0.85	0.85	-0.9	-0.9	-0.9	0.9	-0.85	-0.85	0.85	-0.85	-0.85	0.9	-0.9	-0.9	-0.9	0.9	-0.9
-0.95	0.95	0.85	-0.85	-0.8	-0.8	-0.8	0.8	-0.65	-0.65	-0.65	0.65	-0.85	-0.85	0.85	-0.85	-0.85	0.95	-0.95	-0.5	-0.5	0.5	-0.5
-0.9	0.9	1	-1	-0.55	-0.55	-0.55	0.55	-0.8	-0.8	-0.8	0.8	-1	-1	1	-1	-1	0.9	-0.9	-1	-1	1	-1
-0.85	0.85	0.9	-0.9	0.95	-0.95	-0.95	-0.95	0.85	-0.85	-0.85	-0.85	0.9	-0.9	-0.9	-0.9	-0.9	0.9	-0.9	0.9	-0.9	-0.9	-0.9
-1	1	0.95	-0.95	0.8	-0.8	-0.8	-0.8	0.75	-0.75	-0.75	-0.75	0.7	-0.7	-0.7	-0.7	-0.7	0.85	-0.85	1	-1	-1	-1
-0.85	0.85	0.5	-0.5	0.75	-0.75	-0.75	-0.75	0.85	-0.85	-0.85	-0.85	0.85	-0.85	-0.85	-0.85	-0.85	0.85	-0.85	0.65	0.65	0.65	0.65
-0.9	0.9	-0.65	0.65	-0.65	0.65	-0.65	-0.65	-0.75	-0.75	0.75	-0.75	-0.75	-0.75	-0.75	-0.75	0.75	-0.8	0.8	-0.9	-0.9	0.9	-0.9
-0.85	0.85	-0.9	0.9	-0.85	0.85	-0.85	-0.85	-0.6	-0.6	0.6	-0.6	-0.6	-0.6	-0.6	-0.6	0.6	-0.9	0.9	-1	-1	1	-1
-0.75	0.75	-1	1	-0.7	0.7	-0.7	-0.7	-1	-1	1	-1	-1	-1	-1	-1	1	-0.65	0.65	-0.55	-0.55	0.55	-0.55
-0.85	0.85	0.8	-0.8	-1	-1	1	-1	0.85	-0.85	-0.85	-0.85	0.85	-0.85	-0.85	-0.85	-0.85	0.5	-0.5	-0.8	-0.8	-0.8	0.8
-0.5	0.5	0.8	-0.8	-0.7	-0.7	0.7	-0.7	0.8	-0.8	-0.8	-0.8	1	-1	-1	-1	-1	0.75	-0.75	-0.75	-0.75	-0.75	0.75
-0.95	0.95	1	-1	-0.9	-0.9	0.9	-0.9	0.9	-0.9	-0.9	-0.9	1	-1	-1	-1	-1	0.95	-0.95	-0.85	-0.85	-0.85	0.85
0.9	-0.9	-0.95	0.95	-0.8	0.8	-0.8	-0.8	-0.8	-0.8	0.8	-0.8	0.75	-0.75	-0.75	-0.75	-0.75	-1	1	-0.7	-0.7	-0.7	0.7
0.85	-0.85	-0.75	0.75	-0.95	0.95	-0.95	-0.95	-0.9	-0.9	0.9	-0.9	0.85	-0.85	-0.85	-0.85	-0.85	-0.8	0.8	-0.85	-0.85	-0.85	0.85
