15
7
0.40	0.30	0.50	0.80	0.50	0.70	0.80
0.50	0.70	0.30	0.30	0.60	0.50	0.20
0.70	0.80	0.70	0.20	0.50	0.50	0.90
0.30	0.60	0.60	0.80	1.00	0.45	0.55
0.45	0.10	0.50	0.15	0.40	0.25	0.50
0.15	0.45	0.30	0.80	0.50	0.35	0.70
0.30	0.50	0.65	0.45	0.70	0.45	0.55
0.65	0.20	0.25	0.55	0.60	0.50	0.40
0.50	0.25	0.60	0.65	0.30	0.70	0.75
0.10	0.15	0.70	0.90	0.85	0.30	0.30
0.20	0.25	0.60	0.85	0.55	0.30	0.40
0.70	0.75	0.30	0.50	0.45	0.35	0.40
0.85	0.45	0.35	0.60	0.40	0.35	0.50
0.70	0.65	0.50	0.80	0.60	0.40	0.50
0.70	0.75	0.50	0.55	0.40	0.70	0.60
