20
20
0.5	-0.5	-0.5	-0.5	-0.5	0.5	-0.5	-0.5	0.5	-0.5	-0.5	0.5	-0.5	0.5	-0.5	-0.5	-0.5	0.5	0.5	-0.5
0.7	-0.7	-0.7	-0.6	-0.6	0.6	-0.7	-0.7	0.7	-0.7	-0.6	0.6	-0.6	0.8	-0.8	-0.5	-0.5	0.5	0.9	-0.9
0.8	-0.8	-0.8	-0.8	-0.8	0.8	-0.8	-0.8	0.8	-0.8	-0.8	0.8	-0.8	0.8	-0.8	-0.8	-0.8	0.8	0.8	-0.8
0.6	-0.6	-0.6	-0.6	-0.6	0.6	-0.6	0.6	-0.6	-0.6	0.6	-0.6	-0.6	0.6	-0.6	-0.6	-0.6	0.6	0.6	-0.6
0.5	-0.5	-0.5	-0.6	-0.6	0.6	-0.4	0.4	-0.4	-0.4	0.5	-0.5	-0.5	0.7	-0.7	-0.5	-0.5	0.5	0.7	-0.7
0.8	-0.8	-0.8	-0.8	-0.8	0.8	-0.8	0.8	-0.8	-0.8	0.8	-0.8	-0.8	0.8	-0.8	-0.8	-0.8	-0.8	0.8	-0.8
-0.5	0.5	-0.5	-0.5	0.5	-0.5	-0.5	-0.5	-0.5	0.5	-0.5	-0.5	0.5	0.5	-0.5	-0.5	0.5	-0.5	0.5	-0.5
-0.6	0.6	-0.6	-0.35	0.35	-0.35	-0.6	-0.6	-0.6	0.6	-0.55	-0.55	0.55	0.65	-0.65	-0.45	0.45	-0.45	0.75	-0.75
-0.8	0.8	-0.8	-0.8	0.8	-0.8	-0.8	-0.8	-0.8	0.8	-0.8	-0.8	0.8	0.8	-0.8	-0.8	0.8	-0.8	0.8	-0.8
-0.5	0.5	-0.5	-0.5	0.5	-0.5	0.5	-0.5	-0.5	-0.5	-0.5	0.5	-0.5	0.5	-0.5	0.5	-0.5	-0.5	-0.5	0.5
-0.7	0.7	-0.7	-0.4	0.4	-0.4	0.6	-0.6	-0.6	-0.6	-0.7	0.7	-0.7	0.8	-0.8	0.6	-0.6	-0.6	-0.9	0.9
-0.8	0.8	-0.8	-0.8	0.8	-0.8	0.8	-0.8	-0.8	-0.8	-0.8	0.8	-0.8	0.8	-0.8	0.8	-0.8	-0.8	-0.8	0.8
-0.5	-0.5	0.5	0.5	-0.5	-0.5	0.5	-0.5	-0.5	-0.5	-0.5	-0.5	0.5	-0.5	0.5	-0.5	0.5	-0.5	-0.5	0.5
-0.3	-0.3	0.3	0.8	-0.8	-0.8	0.4	-0.4	-0.4	-0.4	-0.7	-0.7	0.7	-0.5	0.5	-0.9	0.9	-0.9	-0.6	0.6
-0.8	-0.8	0.8	0.8	-0.8	-0.8	0.8	-0.8	-0.8	-0.8	-0.8	-0.8	0.8	-0.8	0.8	-0.8	0.8	-0.8	-0.8	0.8
-0.5	-0.5	0.5	0.5	-0.5	-0.5	0.5	-0.5	-0.5	-0.5	-0.5	0.5	-0.5	-0.5	0.5	-0.5	0.5	-0.5	-0.5	0.5
-0.15	-0.15	0.15	0.8	-0.8	-0.8	0.2	-0.2	-0.2	-0.2	-0.65	0.65	-0.65	-0.15	0.15	-0.5	0.5	-0.5	-0.25	0.25
-0.8	-0.8	0.8	0.8	-0.8	-0.8	0.8	-0.8	-0.8	-0.8	-0.8	0.8	-0.8	-0.8	0.8	-0.8	0.8	-0.8	-0.8	0.8
-0.5	0.5	-0.5	-0.5	0.5	-0.5	-0.5	-0.5	0.5	-0.5	0.5	-0.5	-0.5	-0.5	0.5	0.5	-0.5	-0.5	-0.5	-0.5
-0.75	0.75	-0.75	-0.4	0.4	-0.4	-0.65	-0.65	0.65	-0.65	0.2	-0.2	-0.2	-0.3	0.3	0.25	-0.25	-0.25	-0.55	0.55
