16
30
-0.70	-0.70	0.70	-0.60	-0.60	0.60	0.75	-0.75	-0.75	-0.75	-0.75	-0.75	-0.75	0.70	-0.70	-0.70	-0.70	-0.70	-0.70	-0.70	-0.70	0.70	-0.75	-0.75	-0.55	0.55	-0.85	0.85	-0.85	-0.85
-0.85	-0.85	0.85	-0.70	-0.70	0.70	0.35	-0.35	-0.35	-0.35	-0.35	-0.35	-0.35	0.80	-0.80	-0.80	-0.80	-0.80	-0.80	-0.80	-0.70	0.70	-0.70	-0.70	-0.85	0.85	-0.85	0.85	-0.85	-0.85
-0.65	-0.65	0.65	-0.70	-0.70	0.70	0.90	-0.90	-0.90	-0.90	-0.90	-0.90	-0.90	0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.20	0.20	-0.20	-0.20	-0.80	0.80	-0.55	0.55	-0.55	-0.55
0.75	-0.75	-0.75	0.80	-0.80	-0.80	-0.85	-0.85	-0.85	-0.85	-0.85	-0.85	0.85	-0.80	-0.80	0.80	-0.80	-0.80	-0.80	-0.80	-0.75	0.75	-0.75	-0.75	-0.85	0.85	-0.80	-0.80	-0.80	0.80
0.50	-0.50	-0.50	0.70	-0.70	-0.70	-0.65	-0.65	-0.65	-0.65	-0.65	-0.65	0.65	-0.70	-0.70	0.70	-0.70	-0.70	-0.70	-0.70	-0.50	0.50	-0.50	-0.50	-0.50	0.50	-0.60	-0.60	-0.60	0.60
0.75	-0.75	-0.75	0.35	-0.35	-0.35	-0.70	-0.70	-0.70	-0.70	-0.70	-0.70	0.70	-0.55	-0.55	0.55	-0.55	-0.55	-0.55	-0.55	-0.65	0.65	-0.65	-0.65	-0.80	0.80	-0.55	-0.55	-0.55	0.55
0.90	-0.90	-0.90	0.50	-0.50	-0.50	-0.80	0.80	-0.80	-0.80	-0.80	-0.80	-0.80	-0.65	0.65	-0.65	-0.65	-0.65	-0.65	-0.65	-0.70	-0.70	0.70	-0.70	-0.75	0.75	-0.80	-0.80	0.80	-0.80
0.95	-0.95	-0.95	0.50	-0.50	-0.50	-0.75	0.75	-0.75	-0.75	-0.75	-0.75	-0.75	-0.25	0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.65	-0.65	0.65	-0.65	-0.45	0.45	-0.70	-0.70	0.70	-0.70
0.70	-0.70	-0.70	0.50	-0.50	-0.50	-0.40	0.40	-0.40	-0.40	-0.40	-0.40	-0.40	-0.70	0.70	-0.70	-0.70	-0.70	-0.70	-0.70	-0.75	-0.75	0.75	-0.75	-0.75	0.75	-0.75	-0.75	0.75	-0.75
0.80	-0.80	-0.80	0.70	-0.70	-0.70	-0.65	-0.65	-0.65	0.65	-0.65	-0.65	-0.65	-0.60	-0.60	-0.60	-0.60	0.60	-0.60	-0.60	-0.80	-0.80	0.80	-0.80	-0.85	0.85	0.80	-0.80	-0.80	-0.80
0.65	-0.65	-0.65	0.60	-0.60	-0.60	-0.80	0.80	-0.80	0.80	-0.80	-0.80	-0.80	-0.85	-0.85	-0.85	-0.85	0.85	-0.85	-0.85	-0.30	-0.30	0.30	-0.30	-0.65	0.65	0.65	-0.65	-0.65	-0.65
0.90	-0.90	-0.90	0.55	-0.55	-0.55	-0.65	-0.65	-0.65	0.65	-0.65	-0.65	-0.65	-0.85	-0.85	-0.85	-0.85	0.85	-0.85	-0.85	-0.25	-0.25	0.25	-0.25	-0.60	0.60	0.75	-0.75	-0.75	-0.75
-0.65	0.65	-0.65	-0.70	0.70	-0.70	-0.75	-0.75	0.75	-0.75	-0.75	-0.75	-0.75	-0.80	-0.80	-0.80	-0.80	-0.80	0.80	-0.80	-0.70	-0.70	-0.70	0.70	0.80	-0.80	-0.75	0.75	-0.75	-0.75
-0.45	0.45	-0.45	-0.90	0.90	-0.90	-0.35	-0.35	0.35	-0.35	-0.35	-0.35	-0.35	-0.45	-0.45	-0.45	-0.45	-0.45	0.45	-0.45	-0.70	-0.70	-0.70	0.70	0.75	-0.75	-0.65	0.65	-0.65	-0.65
-0.55	0.55	-0.55	-0.20	0.20	-0.20	-0.85	-0.85	0.85	-0.85	-0.85	-0.85	-0.85	-0.65	-0.65	-0.65	-0.65	-0.65	0.65	-0.65	-0.65	-0.65	-0.65	0.65	0.65	-0.65	-0.60	0.60	-0.60	-0.60
-0.80	0.80	-0.80	-0.95	0.95	-0.95	-0.50	-0.50	-0.50	-0.50	0.50	-0.50	-0.50	-0.65	-0.65	-0.65	-0.65	-0.65	-0.65	0.65	0.70	-0.70	-0.70	-0.70	0.70	-0.70	-0.70	-0.70	0.70	-0.70
