28
18
0.800	-0.800	-0.900	-0.900	-0.900	0.900	0.750	-0.750	0.750	-0.750	-0.800	0.800	0.650	-0.650	-0.700	-0.700	0.700	-0.700
0.750	-0.750	-0.850	-0.850	-0.850	0.850	0.800	-0.800	0.800	-0.800	-0.750	0.750	0.700	-0.700	-0.750	-0.750	0.750	-0.750
0.700	-0.700	-0.800	-0.800	-0.800	0.800	0.850	-0.850	0.700	-0.700	-0.850	0.850	0.750	-0.750	-0.800	-0.800	0.800	-0.800
-0.450	0.450	-0.700	-0.700	0.700	-0.700	-0.750	0.750	-0.700	0.700	0.750	-0.750	-0.650	0.650	0.650	-0.650	-0.650	-0.650
-0.700	0.700	-0.800	-0.800	0.800	-0.800	-0.900	0.900	-0.650	0.650	0.900	-0.900	-0.750	0.750	0.800	-0.800	-0.800	-0.800
-0.950	0.950	-0.750	-0.750	0.750	-0.750	-0.850	0.850	-0.950	0.950	0.800	-0.800	-0.800	0.800	0.750	-0.750	-0.750	-0.750
0.350	-0.350	-0.850	0.850	-0.850	-0.850	-0.850	0.850	-0.900	0.900	-0.750	0.750	-0.800	0.800	0.700	-0.700	-0.700	-0.700
0.650	-0.650	-0.650	0.650	-0.650	-0.650	-0.900	0.900	-0.700	0.700	-0.800	0.800	-0.850	0.850	0.800	-0.800	-0.800	-0.800
0.850	-0.850	-0.700	0.700	-0.700	-0.700	-0.750	0.750	-0.850	0.850	-0.900	0.900	-0.950	0.950	0.950	-0.950	-0.950	-0.950
0.850	-0.850	0.450	-0.450	-0.450	-0.450	-0.750	0.750	0.750	-0.750	0.750	-0.750	-0.600	0.600	0.400	0.400	-0.400	0.400
0.750	-0.750	0.700	-0.700	-0.700	-0.700	-0.650	0.650	0.500	-0.500	0.550	-0.550	-0.500	0.500	-0.650	0.650	-0.650	-0.650
0.700	-0.700	0.850	-0.850	-0.850	-0.850	-0.850	0.850	0.800	-0.800	0.650	-0.650	-0.700	0.700	-0.800	0.800	-0.800	-0.800
-0.750	0.750	-0.800	-0.800	-0.800	0.800	0.850	-0.850	0.750	-0.750	-0.800	0.800	-0.800	0.800	-0.650	0.650	-0.650	-0.650
-0.850	0.850	-0.750	-0.750	-0.750	0.750	0.900	-0.900	0.700	-0.700	-0.750	0.750	-0.750	0.750	-0.750	0.750	-0.750	-0.750
-0.800	0.800	-0.900	-0.900	-0.900	0.900	0.700	-0.700	0.800	-0.800	-0.850	0.850	-0.900	0.900	-0.850	0.850	-0.850	-0.850
-0.650	0.650	-0.600	-0.600	-0.600	0.600	0.600	-0.600	-0.650	0.650	-0.650	0.650	0.350	-0.350	-0.800	-0.800	-0.800	0.800
-0.700	0.700	-0.700	-0.700	-0.700	0.700	0.650	-0.650	-0.600	0.600	-0.600	0.600	0.250	-0.250	-0.750	-0.750	-0.750	0.750
-0.750	0.750	-0.750	-0.750	-0.750	0.750	0.550	-0.550	-0.700	0.700	-0.700	0.700	0.400	-0.400	-0.850	-0.850	-0.850	0.850
0.800	-0.800	0.850	-0.850	-0.850	-0.850	-0.750	0.750	-0.850	0.850	0.700	-0.700	0.850	-0.850	-0.550	-0.550	-0.550	0.550
0.850	-0.850	0.750	-0.750	-0.750	-0.750	-0.850	0.850	-0.800	0.800	0.550	-0.550	0.700	-0.700	-0.800	-0.800	-0.800	0.800
0.750	-0.750	0.800	-0.800	-0.800	-0.800	-0.800	0.800	-0.900	0.900	0.800	-0.800	0.900	-0.900	-0.750	-0.750	-0.750	0.750
-0.750	0.750	-0.800	0.800	-0.800	-0.800	0.650	-0.650	0.700	-0.700	0.750	-0.750	0.950	-0.950	-0.800	-0.800	0.800	-0.800
-0.800	0.800	-0.750	0.750	-0.750	-0.750	0.700	-0.700	0.800	-0.800	0.700	-0.700	0.800	-0.800	-0.750	-0.750	0.750	-0.750
-0.700	0.700	-0.850	0.850	-0.850	-0.850	0.600	-0.600	0.750	-0.750	0.800	-0.800	0.850	-0.850	-0.700	-0.700	0.700	-0.700
0.750	-0.750	-0.750	0.750	-0.750	-0.750	-0.800	0.800	-0.750	0.750	-0.850	0.850	-0.900	0.900	0.750	-0.750	-0.750	-0.750
0.900	-0.900	0.700	-0.700	-0.700	-0.700	-0.700	0.700	-0.700	0.700	0.750	-0.750	0.750	-0.750	-0.650	-0.650	-0.650	0.650
-0.800	0.800	-0.650	-0.650	-0.650	0.650	0.700	-0.700	-0.750	0.750	-0.750	0.750	0.200	-0.200	-0.700	-0.700	-0.700	0.700
-0.850	0.850	-0.700	0.700	-0.700	-0.700	0.750	-0.750	0.850	-0.850	0.850	-0.850	0.750	-0.750	-0.850	-0.850	0.850	-0.850
