20
7
0.75	0.95	0.60	0.45	0.55	0.60	0.70
0.30	0.75	0.20	0.95	0.45	0.50	0.45
0.90	0.10	0.50	0.25	0.75	0.95	0.70
0.70	0.55	0.60	0.95	0.70	0.90	0.70
1.00	0.85	0.25	0.85	0.65	0.15	0.80
0.95	0.70	0.65	0.25	0.65	0.55	0.15
0.75	0.30	0.85	0.65	0.10	0.95	0.85
0.20	0.50	1.00	0.85	0.90	0.20	0.45
0.55	0.25	0.20	0.30	0.50	0.55	0.15
0.60	1.00	0.30	0.45	0.50	0.95	0.40
0.95	0.15	0.50	1.00	0.20	0.60	0.25
0.20	0.65	0.95	0.30	0.90	0.20	0.1
0.40	0.50	0.50	0.70	0.55	0.45	0.60
0.20	0.30	0.25	0.30	0.10	0.15	0.35
0.80	0.95	0.75	0.90	1.00	0.65	0.85
0.25	0.40	0.30	0.20	0.10	0.35	0.05
0.45	0.60	0.65	0.50	0.55	0.50	0.70
0.90	0.75	0.65	0.95	1.00	0.75	0.85
0.10	0.20	0.30	0.05	0.15	0.25	0.35
0.40	0.50	0.60	0.45	0.55	0.65	0.70
