15
9
0.85	0.85	0.20	0.65	0.80	0.75	0.70	0.80	0.75
0.40	0.40	0.90	0.85	0.95	0.50	0.80	0.95	0.50
0.90	0.85	0.40	0.90	0.65	0.50	0.85	0.80	0.50
0.30	0.60	0.60	0.80	0.95	0.45	0.85	0.85	0.90
0.80	0.95	0.35	0.65	0.40	0.90	0.20	0.95	0.95
0.15	0.45	0.30	0.80	0.50	0.35	0.85	0.85	0.35
0.70	0.80	0.30	0.80	0.85	0.35	0.55	0.80	0.50
0.65	0.20	0.25	0.55	0.60	0.50	0.85	0.85	0.40
0.50	0.25	0.60	0.65	0.30	0.70	0.65	0.50	0.20
0.10	0.15	0.70	0.90	0.85	0.30	0.80	0.25	0.30
0.20	0.25	0.60	0.85	0.55	0.30	0.25	0.95	0.35
0.70	0.75	0.30	0.50	0.45	0.35	0.65	0.40	0.25
0.85	0.45	0.35	0.60	0.40	0.35	0.10	0.15	0.35
0.90	0.60	0.40	0.60	0.70	0.50	0.95	0.55	0.45
0.40	0.35	0.60	0.65	0.80	0.40	0.40	0.45	0.30
