-0,70;-0,70;0,70;-0,70;-0,70;-0,70;-0,70;-0,70;0,50;-0,50;-0,50;0,80;-0,80;-0,55;0,55;-0,60;-0,60;0,60;-0,60;-0,60;-0,95;0,95;-0,35;0,35;-0,35;0,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,86
-0,85;-0,85;0,85;-0,85;-0,85;-0,85;-0,85;-0,85;0,60;-0,60;-0,60;0,80;-0,80;-0,90;0,90;-0,50;-0,50;0,50;-0,50;-0,50;-0,70;0,70;-0,50;0,50;-0,60;0,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,91
-0,45;-0,45;0,45;-0,45;-0,45;-0,45;-0,45;-0,45;0,35;-0,35;-0,35;0,60;-0,60;-0,70;0,70;-0,45;-0,45;0,45;-0,45;-0,45;-0,40;0,40;-0,40;0,40;-0,45;0,45;;;;;;;;
-0,50;0,50;-0,50;-0,50;-0,50;-0,50;-0,50;-0,50;0,00;0,00;0,00;0,65;-0,65;0,70;-0,70;0,45;-0,45;-0,45;-0,45;-0,45;0,40;-0,40;0,65;-0,65;-0,55;0,55;0,00;0,00;0,76;0,00;0,00;0,00;0,00;0,00
-0,45;0,45;-0,45;-0,45;-0,45;-0,45;-0,45;-0,45;0,00;0,00;0,00;0,55;-0,55;0,55;-0,55;0,80;-0,80;-0,80;-0,80;-0,80;0,70;-0,70;0,65;-0,65;-0,75;0,75;0,00;0,00;0,95;0,00;0,00;0,00;0,00;0,00
-0,75;0,75;-0,75;-0,75;-0,75;-0,75;-0,75;-0,75;0,00;0,00;0,00;0,25;-0,25;0,60;-0,60;0,40;-0,40;-0,40;-0,40;-0,40;0,65;-0,65;0,80;-0,80;-0,40;0,40;;;;;;;;
0,45;-0,45;-0,45;-0,45;-0,45;-0,45;-0,45;-0,45;-0,50;-0,50;0,50;-0,55;0,55;0,65;-0,65;-0,40;0,40;-0,40;-0,40;-0,40;-0,30;0,30;-0,30;0,30;-0,40;0,40;0,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0,95;-0,95;-0,95;-0,95;-0,95;-0,95;-0,95;-0,95;-0,40;-0,40;0,40;-0,55;0,55;0,50;-0,50;-0,55;0,55;-0,55;-0,55;-0,55;-0,30;0,30;-0,30;0,30;-0,40;0,40;0,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0,80;-0,80;-0,80;-0,80;-0,80;-0,80;-0,80;-0,80;-0,50;-0,50;0,50;-0,65;0,65;0,30;-0,30;-0,65;0,65;-0,65;-0,65;-0,65;-0,70;0,70;-0,40;0,40;-0,20;0,20;;;;;;;;
-0,55;-0,55;-0,55;-0,55;-0,55;-0,55;0,55;-0,55;0,50;-0,50;-0,50;0,60;-0,60;-0,25;0,25;-0,75;0,75;-0,75;-0,75;-0,75;0,35;-0,35;-0,70;-0,70;-0,30;-0,30;0,00;0,00;0,00;0,00;0,73;0,00;0,00;0,00
-0,65;-0,65;-0,65;-0,65;-0,65;-0,65;0,65;-0,65;0,70;-0,70;-0,70;0,65;-0,65;0,60;-0,60;-0,60;0,60;-0,60;-0,60;-0,60;0,50;-0,50;-0,45;0,45;-0,30;0,30;0,00;0,00;0,00;0,00;0,84;0,00;0,00;0,00
-0,60;-0,60;-0,60;-0,60;-0,60;-0,60;0,60;-0,60;0,85;-0,85;-0,85;0,80;-0,80;0,70;-0,70;-0,70;0,70;-0,70;-0,70;-0,70;0,65;-0,65;0,85;-0,85;-0,55;0,55;;;;;;;;
-0,40;-0,40;-0,40;0,40;-0,40;-0,40;-0,40;-0,40;0,70;-0,70;-0,70;-0,65;0,65;-0,45;0,45;-0,60;-0,60;-0,60;0,60;-0,60;-0,40;0,40;-0,80;0,80;0,65;-0,65;0,00;0,00;0,00;0,00;0,00;0,00;0,62;0,00
-0,60;-0,60;-0,60;0,60;-0,60;-0,60;-0,60;-0,60;0,45;-0,45;-0,45;-0,35;0,35;-0,65;0,65;-0,60;-0,60;-0,60;0,60;-0,60;-0,45;0,45;-0,45;0,45;0,80;-0,80;0,00;0,00;0,00;0,00;0,00;0,00;0,73;0,00
-0,50;-0,50;-0,50;0,50;-0,50;-0,50;-0,50;-0,50;0,55;-0,55;-0,55;-0,60;0,60;-0,70;0,70;-0,40;-0,40;-0,40;0,40;-0,40;-0,75;0,75;-0,90;0,90;0,65;-0,65;;;;;;;;
-0,65;-0,65;-0,65;-0,65;0,65;-0,65;-0,65;-0,65;-0,35;0,35;-0,35;-0,65;0,65;-0,50;0,50;0,65;-0,65;-0,65;-0,65;-0,65;-0,55;0,55;-0,50;0,50;0,65;-0,65;0,00;0,47;0,00;0,00;0,00;0,00;0,00;0,00
-0,60;-0,60;-0,60;-0,60;0,60;-0,60;-0,60;-0,60;-0,65;0,65;-0,65;-0,70;0,70;-0,95;0,95;0,85;0,85;0,85;0,85;0,85;-0,75;0,75;-0,70;0,70;0,50;-0,50;0,00;0,65;0,00;0,00;0,00;0,00;0,00;0,00
-0,65;-0,65;-0,65;-0,65;-0,65;0,65;-0,65;-0,65;0,65;-0,65;-0,65;0,80;-0,80;0,65;-0,65;-0,75;-0,75;-0,75;-0,75;0,75;-0,85;0,85;-0,30;0,30;-0,60;0,60;0,00;0,00;0,00;0,77;0,00;0,00;0,00;0,00
