-0,15;-0,15;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,55;-0,55;0,50;0,50;-0,50;0,90;-0,90;1,00;-1,00;0,98;-0,49;-1,00;0,00;-0,56;-0,95;-0,95
-0,75;-0,75;0,75;-0,50;0,50;0,85;-0,85;-0,85;-0,85;-0,85;-0,85;0,50;-0,50;0,90;0,90;-0,90;0,65;-0,65;-0,25;0,25;0,00;-0,88;-0,99;0,98;-0,97;-0,99;-0,99
-0,50;-0,50;0,50;0,65;-0,65;-0,30;0,30;-0,30;-0,30;-0,30;-0,30;0,45;-0,45;0,80;-0,80;0,80;0,65;-0,65;-0,65;0,65;-0,78;0,29;-0,92;-0,78;-0,49;-0,81;-0,81
-0,85;-0,85;0,85;0,00;0,00;0,60;-0,60;-0,60;-0,60;-0,60;-0,60;0,65;-0,65;0,40;0,40;-0,40;0,60;-0,60;-0,65;0,65;0,00;-0,39;-0,91;0,83;-0,90;-0,96;-0,96
-0,50;-0,50;0,50;0,80;-0,80;-0,75;0,75;-0,75;-0,75;-0,75;-0,75;0,05;-0,05;0,90;-0,90;0,90;0,95;-0,95;-0,90;0,90;-0,88;0,74;-0,99;-0,88;-0,49;-0,96;-0,96
-0,75;-0,75;0,75;-0,65;0,65;-0,90;-0,90;-0,90;-0,90;-0,90;0,90;-0,65;0,65;0,70;-0,70;0,70;1,00;-1,00;-0,95;0,95;-0,69;0,00;-0,99;-0,13;0,84;-0,99;0,99
-0,65;-0,65;0,65;0,75;-0,75;-0,80;0,80;-0,80;-0,80;-0,80;-0,80;0,65;-0,65;-0,70;-0,70;0,70;-0,85;0,85;-0,80;0,80;-0,95;-0,83;0,94;-0,95;-0,94;-0,64;-0,29
0,00;0,00;0,00;0,80;-0,80;-0,90;0,90;-0,90;-0,90;-0,90;-0,90;0,25;-0,25;0,45;-0,45;0,45;0,90;-0,90;0,00;0,00;-0,44;0,88;-0,93;-0,44;0,00;-0,88;-0,88
0,00;0,00;0,00;0,75;-0,75;0,00;0,00;0,00;0,00;0,00;0,00;0,80;-0,80;0,00;0,00;0,00;-1,00;1,00;0,00;0,00;-0,98;-0,98;1,00;-0,98;-0,98;0,00;0,00
0,95;0,95;-0,95;0,75;-0,75;-1,00;-1,00;-1,00;-1,00;1,00;-1,00;0,00;0,00;0,85;0,85;0,85;-0,70;0,70;-0,60;0,60;-0,98;-0,98;-0,97;-0,98;-0,98;-0,99;0,88
-0,70;-0,70;0,70;0,10;-0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,65;-0,65;0,70;0,70;-0,70;0,65;-0,65;1,00;-1,00;0,98;-0,69;-0,96;0,00;-0,90;-0,96;-0,96
-0,70;0,70;-0,70;-0,60;0,60;-0,60;-0,60;-0,60;-0,60;-0,60;0,60;-0,55;0,55;0,85;-0,85;0,85;0,70;-0,70;-0,65;0,65;-0,83;0,00;-0,95;-0,83;0,94;-0,69;-0,69
-0,50;0,50;-0,50;0,00;0,00;-0,55;-0,55;-0,55;-0,55;-0,55;0,55;-1,00;1,00;0,70;-0,70;0,70;0,55;-0,55;-0,70;0,70;-0,69;0,00;-0,86;-0,69;0,76;-0,54;-0,54
0,60;0,60;-0,60;0,70;-0,70;-0,70;-0,70;-0,70;0,70;-0,70;-0,70;-0,85;0,85;0,75;-0,75;0,75;-0,80;0,80;-0,65;0,65;-0,94;-0,78;-0,74;-0,94;-0,78;0,92;0,00
-0,75;-0,75;0,75;0,85;-0,85;0,00;0,00;0,00;0,00;0,00;0,00;0,95;-0,95;0,00;0,00;0,00;-0,50;0,50;-0,80;0,80;-0,49;-0,49;0,93;-0,49;-0,86;-0,74;0,00
0,00;0,00;0,00;0,80;-0,80;-0,90;-0,90;-0,90;0,90;-0,90;-0,90;-0,95;0,95;0,80;-0,80;0,80;-0,65;0,65;-0,60;0,60;-0,92;-0,64;-0,78;-0,92;-0,64;0,96;-0,67
0,65;0,65;-0,65;0,90;-0,90;-0,55;-0,55;-0,55;-0,55;0,55;-0,55;-0,90;0,90;0,55;0,55;0,55;-0,95;0,95;-0,50;0,50;-0,97;-0,97;-0,79;-0,97;-0,97;-0,54;0,89
-0,50;-0,50;0,50;0,40;-0,40;-0,50;-0,50;0,50;-0,50;-0,50;-0,50;0,65;-0,65;0,50;0,50;-0,50;0,80;-0,80;0,40;-0,40;;;;;;;
-0,55;-0,55;0,55;0,60;-0,60;-0,50;0,50;-0,50;-0,50;-0,50;-0,50;0,65;-0,65;0,00;0,00;0,00;0,65;-0,65;-0,85;0,85;;;;;;;
0,65;0,65;-0,65;0,85;-0,85;-0,80;-0,80;-0,80;0,80;-0,80;-0,80;-0,70;0,70;0,70;-0,70;0,70;0,00;0,00;-0,40;0,40;;;;;;;
0,00;0,00;0,00;-0,40;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,40;-0,40;0,30;0,30;-0,30;0,55;-0,55;0,00;0,00;;;;;;;
0,75;0,75;-0,75;0,70;-0,70;-0,55;-0,55;-0,55;-0,55;0,55;-0,55;-0,75;0,75;0,50;0,50;0,50;0,00;0,00;-0,60;0,60;;;;;;;
