0,80;-0,80;0,70;-0,70;-0,70;-0,65;0,65;-0,60;0,60;-0,60;-0,85;0,85;-0,85;-0,90;-0,90;0,90;-0,90;-0,90;-0,90;-0,85;0,85;0,87;0,63;0,79;0,25;0,00;0,00;0,24
0,50;-0,50;0,90;-0,90;-0,90;-0,65;0,65;-0,55;0,55;-0,55;-0,50;0,50;-0,50;-0,80;-0,80;0,80;-0,80;-0,80;-0,80;-0,85;0,85;0,87;0,56;0,60;0,15;0,00;0,00;0,22
0,90;-0,90;0,50;-0,50;-0,50;-0,55;0,55;-0,95;0,95;-0,95;-0,70;0,70;-0,70;-0,60;-0,60;0,60;-0,60;-0,60;-0,60;-0,70;0,70;0,80;0,66;0,58;0,21;0,00;0,00;0,38
0,80;-0,80;-0,70;-0,70;0,70;-0,90;0,90;-0,50;-0,50;0,50;0,80;-0,80;-0,80;-0,65;-0,65;-0,65;0,65;-0,65;-0,65;-0,50;0,50;;;;;;;
0,50;-0,50;-0,85;-0,85;0,85;-0,60;0,60;-0,70;-0,70;0,70;0,90;-0,90;-0,90;-0,85;-0,85;-0,85;0,85;-0,85;-0,85;-0,80;0,80;0,00;0,90;0,60;0,00;0,00;0,00;0,46
0,90;-0,90;-0,70;-0,70;0,70;-0,55;0,55;-0,65;-0,65;0,65;0,60;-0,60;-0,60;-0,70;-0,70;-0,70;0,70;-0,70;-0,70;-0,90;0,90;0,00;0,90;0,56;0,00;0,00;0,00;0,46
-0,80;0,80;-0,80;0,80;-0,80;0,55;-0,55;-0,70;0,70;-0,70;-0,70;0,70;-0,70;-0,75;-0,75;-0,75;-0,75;0,75;-0,75;-0,90;0,90;0,40;0,00;0,60;0,00;0,25;0,15;0,34
-0,90;0,90;-0,60;0,60;-0,60;0,75;-0,75;-0,60;0,60;-0,60;-0,85;0,85;-0,85;-0,95;-0,95;-0,95;-0,95;0,95;-0,95;-0,50;0,50;;;;;;;
-0,50;0,50;-0,85;0,85;-0,85;0,60;-0,60;-0,55;0,55;-0,55;-0,60;0,60;-0,60;-0,90;-0,90;-0,90;-0,90;0,90;-0,90;-0,70;0,70;0,37;0,00;0,63;0,44;0,40;0,00;0,00
-0,75;0,75;-0,60;0,60;-0,60;0,70;-0,70;0,75;-0,75;-0,75;-0,80;0,80;-0,80;-0,70;0,70;-0,70;-0,70;-0,70;-0,70;-0,75;0,75;0,00;0,00;0,34;0,78;0,21;0,30;0,00
-0,60;0,60;-0,80;0,80;-0,80;0,85;-0,85;0,60;-0,60;-0,60;-0,85;0,85;-0,85;-0,85;0,85;-0,85;-0,85;-0,85;-0,85;-0,55;0,55;0,00;0,00;0,30;0,86;0,16;0,24;0,00
-0,90;0,90;-0,50;0,50;-0,50;0,60;-0,60;0,80;-0,80;-0,80;-0,50;0,50;-0,50;-0,90;0,90;-0,90;-0,90;-0,90;-0,90;-0,60;0,60;;;;;;;
0,75;-0,75;-0,80;0,80;-0,80;0,60;-0,60;-0,65;0,65;-0,65;-0,65;-0,65;0,65;-0,70;-0,70;-0,70;-0,70;0,70;-0,70;-0,70;0,70;0,00;0,00;0,34;0,12;0,97;0,30;0,00
0,85;-0,85;-0,70;0,70;-0,70;0,85;-0,85;-0,75;0,75;-0,75;-0,60;-0,60;0,60;-0,85;-0,85;-0,85;-0,85;0,85;-0,85;-0,50;0,50;0,00;0,15;0,20;0,15;0,99;0,40;0,00
0,60;-0,60;-0,90;0,90;-0,90;0,50;-0,50;-0,90;0,90;-0,90;-0,95;-0,95;0,95;-0,60;-0,60;-0,60;-0,60;0,60;-0,60;-0,90;0,90;0,00;0,00;0,10;0,10;0,95;0,41;0,00
-0,75;0,75;-0,80;0,80;-0,80;0,85;-0,85;0,90;-0,90;-0,90;-0,60;-0,60;0,60;-0,85;-0,85;-0,85;-0,85;-0,85;0,85;-0,70;0,70;;;;;;;
-0,50;0,50;-0,65;0,65;-0,65;0,60;-0,60;0,65;-0,65;-0,65;-0,85;-0,85;0,85;-0,70;-0,70;-0,70;-0,70;-0,70;0,70;-0,80;0,80;0,26;0,00;0,40;0,34;0,21;0,76;0,26
-0,90;0,90;-0,50;0,50;-0,50;0,70;-0,70;0,70;-0,70;-0,70;-0,70;-0,70;0,70;-0,80;-0,80;-0,80;-0,80;-0,80;0,80;-0,55;0,55;0,28;0,00;0,30;0,32;0,15;0,82;0,28
0,70;-0,70;-0,55;-0,55;0,55;-0,65;0,65;-0,55;-0,55;0,55;-0,85;-0,85;0,85;0,75;-0,75;-0,75;-0,75;-0,75;-0,75;0,50;-0,50;0,00;0,40;0,34;0,00;0,00;0,00;0,86
0,90;-0,90;-0,80;-0,80;0,80;-0,80;0,80;-0,75;-0,75;0,75;-0,50;-0,50;0,50;0,90;-0,90;-0,90;-0,90;-0,90;-0,90;0,80;-0,80;;;;;;;
0,50;-0,50;-0,90;-0,90;0,90;-0,70;0,70;-0,90;-0,90;0,90;-0,70;-0,70;0,70;0,55;-0,55;-0,55;-0,55;-0,55;-0,55;0,90;-0,90;0,00;0,42;0,44;0,00;0,00;0,00;0,94
