1,00;-1,00;1,00;-1,00;1,00;-1,00;-1,00;1,00;-1,00;1,00;0,00;0,00;0,95;-0,95;-0,95;-0,95;-0,95;0,00;0,00;0,00;0,92;0,00;0,00;0,00
0,85;-0,85;0,95;-0,95;0,75;-0,75;-0,60;0,60;-0,95;0,95;0,00;0,00;1,00;-1,00;-1,00;-1,00;-1,00;0,00;0,00;0,00;0,80;0,00;0,00;0,00
0,40;-0,40;1,00;-1,00;0,50;-0,50;-0,80;0,80;-0,70;0,70;0,00;0,00;0,80;-0,80;-0,80;-0,80;-0,80;;;;;;;
-0,85;0,85;-1,00;1,00;-1,00;1,00;0,85;-0,85;-1,00;1,00;-0,70;0,70;0,85;-0,85;-0,85;-0,85;-0,85;0,63;0,00;0,00;0,00;0,00;0,00;0,00
-0,90;0,90;-0,85;0,85;-0,75;0,75;0,80;-0,80;-0,70;0,70;-0,80;0,80;0,90;-0,90;-0,90;-0,90;-0,90;0,63;0,00;0,00;0,00;0,00;0,00;0,00
-0,90;0,90;-0,85;0,85;-1,00;1,00;0,90;-0,90;-0,90;0,90;-0,90;0,90;0,85;-0,85;-0,85;-0,85;-0,85;0,77;0,00;0,00;0,00;0,00;0,00;0,00
0,90;-0,90;0,85;-0,85;-0,65;0,65;-0,95;0,95;-1,00;1,00;0,85;-0,85;-1,00;1,00;-1,00;-1,00;-1,00;0,00;0,77;0,00;0,00;0,00;0,00;0,00
1,00;-1,00;0,85;-0,85;-0,90;0,90;-0,75;0,50;-0,85;0,85;0,80;-0,80;-0,90;0,90;-0,90;-0,90;-0,90;;;;;;;
0,80;-0,80;0,85;-0,85;-0,90;0,90;-1,00;1,00;-0,85;0,85;0,85;-0,85;-1,00;1,00;-1,00;-1,00;-1,00;0,00;0,90;0,00;0,00;0,00;0,00;0,00
-0,80;0,80;-0,90;0,90;0,00;0,00;0,85;-0,85;0,00;0,00;-0,95;0,95;-1,00;-1,00;1,00;-1,00;-1,00;0,00;0,00;0,92;0,00;0,00;0,00;0,00
-0,90;0,90;-0,85;0,85;0,00;0,00;0,75;-0,75;0,00;0,00;-0,85;0,85;-0,90;-0,90;0,90;-0,90;-0,90;0,00;0,00;0,89;0,00;0,00;0,00;0,00
-0,80;0,80;-0,90;0,90;0,00;0,00;0,65;-0,65;0,00;0,00;-0,90;0,90;-0,80;-0,80;0,80;-0,80;-0,80;0,00;0,00;0,83;0,00;0,00;0,00;0,00
0,75;-0,75;-0,80;0,80;0,00;0,00;-0,90;0,90;-0,85;0,85;-0,85;0,85;-0,80;-0,80;-0,80;-0,80;0,80;0,00;0,00;0,00;0,00;0,76;0,00;0,00
0,55;-0,55;-0,85;0,85;0,00;0,00;-0,75;0,75;-0,75;0,75;-0,70;0,70;-0,90;-0,90;-0,90;-0,90;0,90;;;;;;;
0,75;-0,75;-0,80;0,80;0,00;0,00;-0,90;0,90;-0,85;0,85;-0,90;0,90;-1,00;-1,00;-1,00;-1,00;1,00;0,00;0,00;0,00;0,00;0,76;0,00;0,00
-0,90;0,90;-0,80;0,80;0,00;0,00;0,30;-0,30;0,85;-0,85;0,80;-0,80;-0,85;-0,85;-0,85;0,85;-0,85;0,00;0,00;0,00;0,00;0,00;0,90;0,00
-0,75;0,75;-1,00;1,00;0,00;0,00;0,00;0,00;0,85;-0,85;0,85;-0,85;-0,90;-0,90;-0,90;0,90;-0,90;;;;;;;
-0,75;0,75;-0,75;0,75;0,00;0,00;0,00;0,00;0,65;-0,65;0,65;-0,65;-1,00;-1,00;-1,00;1,00;-1,00;0,00;0,00;0,00;0,00;0,00;0,84;0,00
0,70;-0,70;0,90;-0,90;-0,95;0,95;0,00;0,00;0,65;-0,65;0,60;-0,60;-0,30;-0,30;-0,30;-0,30;0,30;0,00;0,00;0,00;0,00;0,00;0,00;0,52
0,85;-0,85;0,70;-0,70;-0,40;0,40;0,00;0,00;0,70;-0,70;1,00;-1,00;-0,75;-0,75;-0,75;-0,75;0,75;0,00;0,00;0,00;0,00;0,00;0,00;0,56
0,90;-0,90;1,00;-1,00;0,00;0,00;0,00;0,00;0,90;-0,90;0,80;-0,80;-0,90;-0,90;-0,90;-0,90;0,90;;;;;;;
