0,70;-0,70;-0,70;0,60;-0,60;-0,70;0,70;-0,70;-0,70;-0,70;-0,70;0,70;-0,75;-0,75;-0,75;-0,75;0,75;-0,75;-0,65;0,65;-0,85;-0,85;0,85;0,60;0,00;0,00;0,00;0,00;0,00;0,00
0,80;-0,80;-0,80;1,00;-1,00;-0,50;0,50;-0,50;-0,50;-0,50;-0,45;0,45;-0,30;-0,30;-0,30;-0,30;0,30;-0,30;-0,65;0,65;-0,75;-0,75;0,75;;;;;;;
0,55;-0,55;-0,55;0,95;-0,95;-0,65;0,65;-0,65;-0,65;-0,65;-1,00;1,00;-0,65;-0,65;-0,65;-0,65;0,65;-0,65;-0,75;0,75;-0,90;-0,90;0,90;0,55;0,00;0,00;0,00;0,00;0,00;0,00
-0,65;0,65;-0,65;-1,00;1,00;-0,70;-0,70;-0,70;-0,70;0,70;0,75;-0,75;-0,80;-0,80;-0,80;0,80;-0,80;-0,80;-0,70;0,70;-0,75;-0,75;0,75;0,00;0,65;0,00;0,00;0,00;0,00;0,00
-0,65;0,65;-0,65;-0,80;0,80;-0,50;-0,50;-0,50;-0,50;0,50;0,85;-0,85;-0,65;-0,65;-0,65;0,65;-0,65;-0,65;-0,95;0,95;-0,65;-0,65;0,65;0,00;0,50;0,00;0,00;0,00;0,00;0,00
-0,65;0,65;-0,65;-0,80;0,80;-0,65;-0,65;-0,65;-0,65;0,65;0,80;-0,80;-0,90;-0,90;-0,90;0,90;-0,90;-0,90;-0,90;0,90;-0,75;-0,75;0,75;;;;;;;
-0,65;-0,65;0,65;-0,65;0,65;0,70;-0,70;-0,70;-0,70;-0,70;0,50;-0,50;-0,50;-0,50;-0,50;0,50;-0,50;-0,50;-0,60;0,60;-0,60;0,60;-0,60;0,00;0,00;0,50;0,00;0,00;0,00;0,00
-0,85;-0,85;0,85;-0,75;0,75;0,70;-0,70;-0,70;-0,70;-0,70;0,80;-0,80;-0,90;-0,90;-0,90;0,90;-0,90;-0,90;-0,70;0,70;-0,85;0,85;-0,85;0,00;0,00;0,70;0,00;0,00;0,00;0,00
-1,00;-1,00;1,00;-1,00;1,00;0,65;-0,65;-0,65;-0,65;-0,65;0,85;-0,85;-0,55;-0,55;-0,55;0,55;-0,55;-0,55;-0,55;0,55;-0,50;0,50;-0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00
-0,50;0,50;-0,50;-0,70;0,70;-0,65;-0,65;-0,65;0,65;-0,65;-0,70;0,70;-0,75;-0,75;-0,75;0,75;-0,75;-0,75;-0,70;0,70;-0,70;-0,70;0,70;;;;;;;
-0,70;0,70;-0,70;-0,80;0,80;-0,55;-0,55;-0,55;0,55;-0,55;-0,95;0,95;-0,80;-0,80;-0,80;0,80;-0,80;-0,80;-0,85;0,85;-0,85;-0,85;0,85;0,00;0,00;0,00;0,55;0,00;0,00;0,00
-0,90;0,90;-0,90;-0,75;0,75;-0,60;-0,60;-0,60;0,60;-0,60;-0,65;0,65;-0,60;-0,60;-0,60;0,60;-0,60;-0,60;-0,60;0,60;-0,60;-0,60;0,60;0,00;0,00;0,00;0,60;0,00;0,00;0,00
0,90;-0,90;-0,90;0,65;-0,65;-0,50;-0,50;-0,50;0,50;-0,50;0,80;-0,80;-0,55;-0,55;-0,55;0,55;-0,55;-0,55;0,55;-0,55;0,85;-0,85;-0,85;0,00;0,00;0,00;0,00;0,50;0,00;0,00
0,75;-0,75;-0,75;0,60;-0,60;0,70;-0,70;-0,70;-0,70;-0,70;0,85;-0,85;-0,80;-0,80;-0,80;0,80;-0,80;-0,80;0,80;-0,80;0,65;-0,65;-0,65;0,00;0,00;0,00;0,00;0,60;0,00;0,00
0,80;-0,80;-0,80;1,00;-1,00;-0,55;-0,55;-0,55;0,55;-0,55;0,75;-0,75;-0,55;-0,55;-0,55;0,55;-0,55;-0,55;0,80;-0,80;0,90;-0,90;-0,90;;;;;;;
-0,65;0,65;-0,65;-0,60;0,60;0,65;-0,65;-0,65;-0,65;-0,65;0,65;-0,65;-0,75;-0,75;-0,75;0,75;-0,75;-0,75;-0,60;0,60;-0,70;0,70;-0,70;0,00;0,00;0,00;0,00;0,00;0,60;0,00
-0,70;0,70;-0,70;-0,80;0,80;0,70;-0,70;-0,70;-0,70;-0,70;0,65;-0,65;-0,90;-0,90;-0,90;0,90;-0,90;-0,90;-0,70;0,70;-0,85;0,85;-0,85;0,00;0,00;0,00;0,00;0,00;0,65;0,00
-0,90;0,90;-0,90;-0,75;0,75;0,95;-0,95;-0,95;-0,95;-0,95;0,50;-0,50;-0,65;-0,65;-0,65;0,65;-0,65;-0,65;-0,95;0,95;-0,60;0,60;-0,60;0,00;0,00;0,00;0,00;0,00;0,50;0,00
0,95;-0,95;-0,95;-0,85;0,85;-0,80;-0,80;-0,80;0,80;-0,80;-0,75;0,75;0,80;-0,80;-0,80;-0,80;-0,80;-0,80;-0,45;0,45;-0,85;-0,85;0,85;0,00;0,00;0,00;0,00;0,00;0,00;0,45
0,80;-0,80;-0,80;-0,75;0,75;-0,70;-0,70;-0,70;0,70;-0,70;-0,80;0,80;0,55;-0,55;-0,55;-0,55;-0,55;-0,55;-0,70;0,70;-0,75;-0,75;0,75;0,00;0,00;0,00;0,00;0,00;0,00;0,55
0,95;-0,95;-0,95;-0,80;0,80;-0,55;-0,55;-0,55;0,55;-0,55;-0,95;0,95;0,70;-0,70;-0,70;-0,70;-0,70;-0,70;-0,70;0,70;-0,65;-0,65;0,65;;;;;;;
