-0,85;-0,85;-0,85;0,85;0,85;-0,85;-0,85;0,9;-0,9;-0,9;0,9;-0,9;0,85;-0,85;-0,85;-0,8;0,8;-0,8;-0,9;-0,9;0,9;0;0;0,96;0;0;0;0
-0,6;0,6;-0,6;-0,6;-0,85;0,85;-0,85;-0,9;0,9;0,75;-0,75;-0,75;-0,9;0,9;-0,9;-1;1;-1;-0,9;0,9;-0,9;0;0,66;0,09;0;0,09;0,09;0,09
-1;1;-1;-1;-0,75;-0,75;0,75;-0,8;0,8;-0,7;0,7;-0,7;-0,95;0,95;-0,95;-0,95;-0,95;0,95;0,9;-0,9;-0,9;-0,9;-0,89;-0,89;-0,9;0,73;-0,25;-0,89
-0,75;-0,75;-0,75;0,75;0,7;-0,7;-0,7;-0,75;0,75;-0,75;0,75;-0,75;-0,8;0,8;-0,8;-0,65;0,65;-0,65;-0,9;-0,9;0,9;0;0,08;0,08;0;0;0;0,85
-0,7;-0,7;0,7;-0,7;-0,6;0,6;-0,6;0,9;-0,9;-0,85;-0,85;0,85;-0,7;-0,7;0,7;1;-1;-1;-0,9;-0,9;0,9;0,94;-0,7;-0,7;-0,56;0;0;0
0,5;-0,5;-0,5;-0,5;-0,7;-0,7;0,7;-0,9;0,9;0,7;-0,7;-0,7;-0,8;0,8;-0,8;-0,45;-0,45;0,45;1;-1;-1;-1;-1;-1;-1;-0,13;0,65;-1
1;-1;-1;-1;-0,85;0,85;-0,85;0,85;-0,85;-0,7;-0,7;0,7;-0,95;-0,95;0,95;0,8;-0,8;-0,8;-0,65;-0,65;0,65;-0,48;-0,7;-0,7;0,79;0;-0,3;0
-0,5;-0,5;0,5;-0,5;1;-1;-1;0,7;-0,7;-0,8;-0,8;0,8;-0,6;-0,6;0,6;0,45;-0,45;-0,45;-0,85;-0,85;0,85;0,82;-0,6;-0,6;-0,31;0;0;0
-0,65;0,65;-0,65;-0,65;-0,75;-0,75;0,75;-0,85;0,85;-0,2;0,2;-0,2;-0,25;0,25;-0,25;-0,8;-0,8;0,8;0,85;-0,85;-0,85;-0,85;-0,85;-0,85;-0,85;0,65;-0,2;-0,85
0,55;-0,55;-0,55;-0,55;-0,8;-0,8;0,8;-0,85;0,85;-0,5;0,5;-0,5;-0,55;0,55;-0,55;-0,55;-0,55;0,55;0,85;-0,85;-0,85;-0,85;-0,84;-0,84;-0,86;-0,16;0,68;-0,84
-0,7;-0,7;-0,7;0,7;0,65;-0,65;-0,65;0,7;-0,7;0,5;-0,5;-0,5;1;-1;-1;-0,85;0,85;-0,85;-1;-1;1;0;0;0,91;0;0;0;0
-0,9;-0,9;-0,9;0,9;0,6;-0,6;-0,6;-0,55;0,55;1;-1;-1;0,55;-0,55;-0,55;-0,8;0,8;-0,8;-0,5;-0,5;0,5;0;0;0;0;0;0;0,82
